
             , Sta.Nu, Sh.in, Lif.in, LIFT, SWEAT, K index, Tot tot, 
12:00 01 Jan ,  76225,  5.36,  5.35,  5.39,  199.12,  15.10,  41.80,  0.00,  0.00,  0.00,  272.05,  14.40
12:00 02 Jan ,  76225,  4.92,  2.57,  2.58,  103.38,  25.70,  43.60,  0.00,  0.00,  0.00,  275.78,  17.71
12:00 03 Jan ,  76225,  12.79,  12.61,  12.56,  62.00,  -14.30,  33.40,  0.00,  0.00,  0.00,  262.82,  3.87
12:00 04 Jan ,  76225,  14.89,  15.19,  15.13,  11.99,  -5.90,  25.80,  0.00,  0.00,  0.00,  258.69,  4.13
12:00 05 Jan ,  76225,  13.38,  14.53,  14.43,  17.00,  -4.50,  29.60,  0.00,  0.00,  0.00,  265.16,  4.99
12:00 06 Jan ,  76225,  13.72,  14.00,  13.91,  20.98,  -10.70,  27.40,  0.00,  0.00,  0.00,  268.30,  9.48
12:00 07 Jan ,  76225,  10.62,  10.08,  10.26,  9.98,  18.50,  32.80,  0.00,  0.00,  0.00,  271.76,  18.83
12:00 31 Jan ,  76225,  2.96,  2.75,  2.58,  152.41,  22.20,  45.90,  0.00,  0.00,  0.00,  278.07,  14.51

12:00 03 Feb ,  76225,  4.32,  3.96,  3.94,  92.81,  25.00,  44.40,  0.00,  0.00,  0.00,  277.35,  15.85
12:00 04 Feb ,  76225,  8.52,  8.84,  8.63,  78.81,  9.70,  36.60,  0.00,  0.00,  0.00,  273.24,  8.11
12:00 05 Feb ,  76225,  10.48,  11.45,  11.31,  25.99,  1.10,  32.60,  0.00,  0.00,  0.00,  266.95,  6.65
12:00 06 Feb ,  76225,  15.26,  14.72,  14.59,  21.23,  -8.10,  25.40,  0.00,  0.00,  0.00,  267.62,  5.80
12:00 07 Feb ,  76225,  15.56,  15.45,  15.30,  38.93,  -4.10,  24.60,  0.00,  0.00,  0.00,  267.54,  6.26
12:00 08 Feb ,  76225,  10.23,  10.58,  10.35,  36.01,  -9.50,  32.20,  0.00,  0.00,  0.00,  267.26,  5.75
12:00 09 Feb ,  76225,  13.15,  13.27,  13.06,  29.00,  0.10,  26.40,  0.00,  0.00,  0.00,  265.15,  6.02
12:00 10 Feb ,  76225,  10.06,  9.49,  9.23,  26.01,  4.70,  32.40,  0.00,  0.00,  0.00,  267.96,  7.11
12:00 11 Feb ,  76225,  11.08,  7.98,  7.81,  21.99,  2.90,  31.00,  0.00,  0.00,  0.00,  261.30,  9.31
12:00 12 Feb ,  76225,  7.10,  6.98,  7.02,  69.81,  22.90,  41.80,  0.00,  0.00,  0.00,  273.71,  15.21
12:00 13 Feb ,  76225,  11.49,  11.12,  11.24,  41.19,  16.10,  33.80,  0.00,  0.00,  0.00,  274.11,  17.25
12:00 14 Feb ,  76225,  6.63,  6.44,  6.55,  84.98,  21.70,  40.00,  0.00,  0.00,  0.00,  277.18,  18.85
12:00 15 Feb ,  76225,  2.79,  2.71,  2.69,  124.60,  27.20,  45.30,  0.00,  0.00,  0.00,  279.03,  20.19
12:00 16 Feb ,  76225,  0.89,  0.97,  0.93,  112.41,  30.90,  48.70,  0.00,  0.00,  0.00,  278.38,  19.54
12:00 17 Feb ,  76225,  5.43,  5.28,  5.09,  73.79,  17.10,  42.40,  0.00,  0.00,  0.00,  271.69,  8.73
12:00 18 Feb ,  76225,  10.50,  9.79,  9.67,  65.80,  13.10,  33.40,  0.00,  0.00,  0.00,  273.71,  11.27
12:00 20 Feb ,  76225,  7.20,  8.00,  7.92,  96.20,  10.30,  37.40,  0.00,  0.00,  0.00,  270.15,  9.90
12:00 21 Feb ,  76225,  3.26,  3.16,  3.19,  99.41,  20.30,  45.20,  0.00,  0.00,  0.00,  272.84,  16.70
12:00 22 Feb ,  76225,  3.35,  3.03,  3.01,  78.59,  17.30,  45.00,  0.00,  0.00,  0.00,  273.22,  16.60
12:00 23 Feb ,  76225,  5.54,  5.95,  5.61,  128.79,  25.90,  40.00,  0.00,  0.00,  0.00,  273.91,  14.80
12:00 24 Feb ,  76225,  6.15,  6.71,  6.51,  123.21,  21.10,  39.00,  0.00,  0.00,  0.00,  272.17,  13.37
12:00 25 Feb ,  76225,  16.82,  16.90,  16.77,  72.98,  -7.30,  23.00,  0.00,  0.00,  0.00,  269.60,  5.60
12:00 26 Feb ,  76225,  15.53,  15.15,  15.10,  35.98,  -6.30,  25.60,  0.00,  0.00,  0.00,  260.72,  4.84
12:00 27 Feb ,  76225,  11.59,  11.43,  11.42,  50.99,  -5.70,  33.20,  0.00,  0.00,  0.00,  265.96,  7.04
12:00 28 Feb ,  76225,  10.23,  10.39,  10.27,  208.10,  4.70,  32.80,  0.00,  0.00,  0.00,  265.43,  7.84

