anio,mes,dia,hora(utc),altura(mm)
2016,1,1,0,88 
2016,1,1,1,86 
2016,1,1,2,91 
2016,1,1,3,110 
2016,1,1,4,145 
2016,1,1,5,188 
2016,1,1,6,229 
2016,1,1,7,266 
2016,1,1,8,308 
2016,1,1,9,360 
2016,1,1,10,414 
2016,1,1,11,457 
2016,1,1,12,478 
2016,1,1,13,472 
2016,1,1,14,446 
2016,1,1,15,415 
2016,1,1,16,384 
2016,1,1,17,347 
2016,1,1,18,292 
2016,1,1,19,220 
2016,1,1,20,149 
2016,1,1,21,98 
2016,1,1,22,75 
2016,1,1,23,79 
2016,1,2,0,100 
2016,1,2,1,126 
2016,1,2,2,150 
2016,1,2,3,175 
2016,1,2,4,209 
2016,1,2,5,249 
2016,1,2,6,288 
2016,1,2,7,319 
2016,1,2,8,347 
2016,1,2,9,381 
2016,1,2,10,421 
2016,1,2,11,458 
2016,1,2,12,477 
2016,1,2,13,470 
2016,1,2,14,438 
2016,1,2,15,389 
2016,1,2,16,338 
2016,1,2,17,287 
2016,1,2,18,230 
2016,1,2,19,165 
2016,1,2,20,100 
2016,1,2,21,51 
2016,1,2,22,32 
2016,1,2,23,46 
2016,1,3,0,85 
2016,1,3,1,136 
2016,1,3,2,185 
2016,1,3,3,228 
2016,1,3,4,267 
2016,1,3,5,307 
2016,1,3,6,344 
2016,1,3,7,374 
2016,1,3,8,396 
2016,1,3,9,417 
2016,1,3,10,443 
2016,1,3,11,471 
2016,1,3,12,488 
2016,1,3,13,483 
2016,1,3,14,450 
2016,1,3,15,391 
2016,1,3,16,319 
2016,1,3,17,245 
2016,1,3,18,174 
2016,1,3,19,105 
2016,1,3,20,43 
2016,1,3,21,-4 
2016,1,3,22,-22 
2016,1,3,23,-4 
2016,1,4,0,46 
2016,1,4,1,117 
2016,1,4,2,192 
2016,1,4,3,259 
2016,1,4,4,313 
2016,1,4,5,359 
2016,1,4,6,397 
2016,1,4,7,426 
2016,1,4,8,446 
2016,1,4,9,460 
2016,1,4,10,476 
2016,1,4,11,494 
2016,1,4,12,508 
2016,1,4,13,505 
2016,1,4,14,476 
2016,1,4,15,416 
2016,1,4,16,330 
2016,1,4,17,232 
2016,1,4,18,137 
2016,1,4,19,52 
2016,1,4,20,-18 
2016,1,4,21,-66 
2016,1,4,22,-84 
2016,1,4,23,-66 
2016,1,5,0,-11 
2016,1,5,1,73 
2016,1,5,2,169 
2016,1,5,3,262 
2016,1,5,4,339 
2016,1,5,5,398 
2016,1,5,6,442 
2016,1,5,7,473 
2016,1,5,8,494 
2016,1,5,9,506 
2016,1,5,10,516 
2016,1,5,11,525 
2016,1,5,12,533 
2016,1,5,13,532 
2016,1,5,14,509 
2016,1,5,15,454 
2016,1,5,16,365 
2016,1,5,17,250 
2016,1,5,18,128 
2016,1,5,19,17 
2016,1,5,20,-70 
2016,1,5,21,-127 
2016,1,5,22,-151 
2016,1,5,23,-136 
2016,1,6,0,-82 
2016,1,6,1,7 
2016,1,6,2,119 
2016,1,6,3,236 
2016,1,6,4,339 
2016,1,6,5,419 
2016,1,6,6,475 
2016,1,6,7,512 
2016,1,6,8,536 
2016,1,6,9,550 
2016,1,6,10,558 
2016,1,6,11,562 
2016,1,6,12,563 
2016,1,6,13,559 
2016,1,6,14,542 
2016,1,6,15,499 
2016,1,6,16,417 
2016,1,6,17,297 
2016,1,6,18,153 
2016,1,6,19,12 
2016,1,6,20,-102 
2016,1,6,21,-179 
2016,1,6,22,-215 
2016,1,6,23,-208 
2016,1,7,0,-160 
2016,1,7,1,-73 
2016,1,7,2,45 
2016,1,7,3,180 
2016,1,7,4,310 
2016,1,7,5,416 
2016,1,7,6,490 
2016,1,7,7,538 
2016,1,7,8,568 
2016,1,7,9,586 
2016,1,7,10,596 
2016,1,7,11,599 
2016,1,7,12,596 
2016,1,7,13,588 
2016,1,7,14,572 
2016,1,7,15,540 
2016,1,7,16,474 
2016,1,7,17,363 
2016,1,7,18,212 
2016,1,7,19,46 
2016,1,7,20,-100 
2016,1,7,21,-207 
2016,1,7,22,-265 
2016,1,7,23,-273 
2016,1,8,0,-236 
2016,1,8,1,-158 
2016,1,8,2,-45 
2016,1,8,3,97 
2016,1,8,4,249 
2016,1,8,5,384 
2016,1,8,6,484 
